node_id,node_type,x_km,y_km,facility_id,service,population
100192,Region,34.991734,138.404268,,,394.0
100193,Region,34.994383,138.405851,,,766.0
100194,Region,34.99671,138.409644,,,462.0
100195,Region,34.995421,138.411883,,,909.0
100196,Region,34.983057,138.403312,,,0.0
100197,Region,34.983295,138.408015,,,388.0
100198,Region,34.983681,138.405265,,,443.0
100199,Region,34.988069,138.418082,,,0.0
100200,Region,34.988654,138.411306,,,1556.0
100201,Region,34.990547,138.4126,,,370.0
100202,Region,34.991667,138.41491,,,913.0
100203,Region,34.992505,138.417347,,,457.0
100204,Region,34.992281,138.422296,,,395.0
100205,Region,34.996746,138.423059,,,721.0
100206,Region,34.994394,138.419217,,,1865.0
100207,Region,34.997077,138.415793,,,998.0
100208,Region,34.998426,138.419601,,,1321.0
100209,Region,35.000035,138.423965,,,597.0
100210,Region,35.011923,138.407499,,,0.0
100211,Region,35.001312,138.419965,,,668.0
100212,Region,35.004405,138.416503,,,1891.0
100213,Region,35.007543,138.412766,,,1224.0
100214,Region,35.008131,138.406589,,,896.0
100215,Region,35.009385,138.410229,,,699.0
100216,Region,35.015701,138.413679,,,1045.0
100217,Region,35.028896,138.406777,,,0.0
100218,Region,35.020238,138.412736,,,226.0
100219,Region,35.02934,138.413488,,,0.0
100220,Region,35.001441,138.412968,,,1401.0
100221,Region,35.003796,138.41212,,,1165.0
100222,Region,35.055577,138.412172,,,839.0
100223,Region,35.042581,138.43028,,,544.0
100224,Region,35.075712,138.420094,,,216.0
100225,Region,35.003979,138.425254,,,2667.0
100226,Region,35.005859,138.429192,,,2318.0
100227,Region,35.007846,138.433297,,,1759.0
100228,Region,35.010839,138.426765,,,704.0
100229,Region,35.004342,138.421113,,,1194.0
100230,Region,35.007314,138.421058,,,1441.0
100231,Region,35.00987,138.416884,,,941.0
100232,Region,35.009882,138.420837,,,1496.0
100233,Region,35.010969,138.423708,,,773.0
100234,Region,35.020954,138.416484,,,0.0
100235,Region,35.030089,138.42129,,,0.0
100236,Region,35.023235,138.427496,,,277.0
100237,Region,35.013746,138.423496,,,3087.0
100238,Region,35.015934,138.419104,,,2099.0
100239,Region,35.021465,138.422365,,,2493.0
100240,Region,35.02013,138.418102,,,498.0
100241,Region,35.025566,138.42091,,,1555.0
100242,Region,35.03057,138.426261,,,1582.0
100243,Region,35.031554,138.423889,,,1591.0
100244,Region,35.012689,138.414742,,,1303.0
100245,Region,35.006438,138.382377,,,419.0
100246,Region,35.00594,138.385645,,,772.0
100247,Region,35.013795,138.386634,,,0.0
100248,Region,35.018349,138.383323,,,4.0
100249,Region,35.018847,138.386215,,,207.0
100250,Region,35.022582,138.389375,,,479.0
100251,Region,35.009607,138.385572,,,1378.0
100252,Region,35.01232,138.389594,,,981.0
100253,Region,35.013163,138.384515,,,343.0
100254,Region,35.030056,138.387041,,,0.0
100255,Region,35.03422,138.38837,,,0.0
100256,Region,35.047031,138.402636,,,61.0
100257,Region,35.032045,138.394421,,,702.0
100258,Region,35.037787,138.395024,,,1013.0
100259,Region,35.04009,138.397687,,,1476.0
100260,Region,35.040588,138.401773,,,784.0
100261,Region,35.036355,138.398903,,,981.0
100262,Region,35.02911,138.400786,,,77.0
100263,Region,35.030177,138.397267,,,777.0
100264,Region,35.033751,138.398731,,,587.0
100265,Region,35.009378,138.389803,,,1167.0
100266,Region,35.007592,138.392216,,,511.0
100267,Region,35.016919,138.389248,,,28.0
100268,Region,35.026851,138.394656,,,4.0
100269,Region,35.024006,138.394331,,,229.0
100270,Region,35.020198,138.393566,,,0.0
100271,Region,35.020948,138.398009,,,332.0
100272,Region,35.016213,138.393991,,,0.0
100273,Region,35.012781,138.394727,,,0.0
100274,Region,35.008684,138.398017,,,0.0
100275,Region,35.009441,138.401858,,,0.0
100276,Region,35.014011,138.398799,,,0.0
100277,Region,35.014798,138.406012,,,0.0
100278,Region,35.016518,138.400445,,,0.0
100279,Region,35.020129,138.401091,,,0.0
100280,Region,35.0197,138.404165,,,0.0
100281,Region,35.023311,138.407341,,,0.0
100282,Region,35.026537,138.410989,,,68.0
100283,Region,35.00005,138.373714,,,5.0
100284,Region,34.997871,138.370711,,,1284.0
100285,Region,35.002128,138.370125,,,1398.0
100286,Region,34.994089,138.360108,,,1301.0
100287,Region,34.998732,138.360465,,,876.0
100288,Region,34.99536,138.363357,,,665.0
100289,Region,34.997735,138.365626,,,1041.0
100290,Region,35.00126,138.366139,,,1144.0
100291,Region,35.009408,138.371374,,,1996.0
100292,Region,35.001872,138.363644,,,217.0
100293,Region,35.001579,138.360205,,,243.0
